source,primary_id,name,version,loader,file,weapon_suspect,category,path,length
aeronaftics,crystalix,Crystalix,3.0.0,neoforge,crystalix-3.0.0.jar,no,,C:\Users\teres\.minecraftx\instances\aeronaftics\mods\crystalix-3.0.0.jar,817004
aeronaftics,ctm,ConnectedTexturesMod,${file.jarVersion},neoforge,CTM-1.21-1.2.1+3.jar,no,,C:\Users\teres\.minecraftx\instances\aeronaftics\mods\CTM-1.21-1.2.1+3.jar,240791
aeronaftics,ctov,ChoiceTheorem's Overhauled Village,3.6.3,neoforge,%5BNeoforge%5Dctov-3.6.3.jar,no,,C:\Users\teres\.minecraftx\instances\aeronaftics\mods\%5BNeoforge%5Dctov-3.6.3.jar,7139609
aeronaftics,cucumber,Cucumber Library,8.0.15,neoforge,Cucumber-1.21.1-8.0.15.jar,no,,C:\Users\teres\.minecraftx\instances\aeronaftics\mods\Cucumber-1.21.1-8.0.15.jar,275523
aeronaftics,cupboard,Cupboard mod,3.5,neoforge,cupboard-1.21-3.5.jar,no,,C:\Users\teres\.minecraftx\instances\aeronaftics\mods\cupboard-1.21-3.5.jar,26659
aeronaftics,cyclopscore,Cyclops Core,1.29.0,neoforge,cyclopscore-1.21.1-neoforge-1.29.0-962.jar,no,,C:\Users\teres\.minecraftx\instances\aeronaftics\mods\cyclopscore-1.21.1-neoforge-1.29.0-962.jar,1158064
aeronaftics,darkmodeeverywhere,Dark Mode Everywhere,1.21-1.3.5,forge,darkmodeeverywhere-1.21-1.3.5.jar,no,,C:\Users\teres\.minecraftx\instances\aeronaftics\mods\darkmodeeverywhere-1.21-1.3.5.jar,31210
aeronaftics,deeperdarker,Deeper and Darker,1.3.5,neoforge,deeperdarker-neoforge-1.21.1-1.3.5.jar,no,,C:\Users\teres\.minecraftx\instances\aeronaftics\mods\deeperdarker-neoforge-1.21.1-1.3.5.jar,17886030
aeronaftics,deimos,Deimos,2.5,neoforge,deimos-1.21.1-neoforge-2.5.jar,no,,C:\Users\teres\.minecraftx\instances\aeronaftics\mods\deimos-1.21.1-neoforge-2.5.jar,49360
aeronaftics,dimstorage,DimStorage,9.1.1,neoforge,DimStorage-1.21.1-9.1.1.jar,no,,C:\Users\teres\.minecraftx\instances\aeronaftics\mods\DimStorage-1.21.1-9.1.1.jar,179454
aeronaftics,disenchanting_table,Dis-Enchanting Table,5.0.2,forge,disenchanting_table-merged-1.21.1-5.0.2.jar,no,,C:\Users\teres\.minecraftx\instances\aeronaftics\mods\disenchanting_table-merged-1.21.1-5.0.2.jar,306197
